filepath,species,freshness,time_group,species_idx,freshness_idx,combined_class,combined_idx
Chanos Chanos - Fresh/IMG_20191002_062711.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_062711,0,1,Chanos Chanos | Fresh,1
Chanos Chanos - Fresh/IMG_20191002_062722.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_062722,0,1,Chanos Chanos | Fresh,1
Chanos Chanos - Fresh/IMG_20191002_062735.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_062735,0,1,Chanos Chanos | Fresh,1
Chanos Chanos - Fresh/IMG_20191002_062742.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_062742,0,1,Chanos Chanos | Fresh,1
Chanos Chanos - Fresh/IMG_20191002_062803.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_062803,0,1,Chanos Chanos | Fresh,1
Chanos Chanos - Fresh/IMG_20191002_062812.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_062812,0,1,Chanos Chanos | Fresh,1
Chanos Chanos - Fresh/IMG_20191002_062826.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_062826,0,1,Chanos Chanos | Fresh,1
Chanos Chanos - Fresh/IMG_20191002_062836.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_062836,0,1,Chanos Chanos | Fresh,1
Chanos Chanos - Fresh/IMG_20191002_062907.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_062907,0,1,Chanos Chanos | Fresh,1
Chanos Chanos - Fresh/IMG_20191002_062928.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_062928,0,1,Chanos Chanos | Fresh,1
Chanos Chanos - Fresh/IMG_20191002_062944.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_062944,0,1,Chanos Chanos | Fresh,1
Chanos Chanos - Fresh/IMG_20191002_063003.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_063003,0,1,Chanos Chanos | Fresh,1
Chanos Chanos - Fresh/IMG_20191002_063014.jpg,Chanos Chanos,Fresh,Chanos Chanos - Fresh/IMG_20191002_063014,0,1,Chanos Chanos | Fresh,1
