model,seed,task,metric,value
ModelD_Cond,42,species,accuracy,0.9934959349593496
ModelD_Cond,42,species,precision_macro,0.9942708333333333
ModelD_Cond,42,species,recall_macro,0.9953236654056326
ModelD_Cond,42,species,f1_macro,0.9947693273354954
ModelD_Cond,42,species,mcc,0.9924299732210279
ModelD_Cond,42,species,cohen_kappa,0.9924177043521144
ModelD_Cond,42,freshness,accuracy,0.7788617886178861
ModelD_Cond,42,freshness,precision_macro,0.7766544132123108
ModelD_Cond,42,freshness,recall_macro,0.7759104485104035
ModelD_Cond,42,freshness,f1_macro,0.776248885305363
ModelD_Cond,42,freshness,mcc,0.6665445590596691
ModelD_Cond,42,freshness,qwk,0.7824373324925115
ModelD_Cond,42,joint,joint_accuracy,0.7739837398373983
ModelD_Cond,42,efficiency,params,5872819.0
ModelD_Cond,43,species,accuracy,0.9934959349593496
ModelD_Cond,43,species,precision_macro,0.9953524298282364
ModelD_Cond,43,species,recall_macro,0.9939320463368198
ModelD_Cond,43,species,f1_macro,0.9946221989101611
ModelD_Cond,43,species,mcc,0.9924225850063836
ModelD_Cond,43,species,cohen_kappa,0.9924133549624677
ModelD_Cond,43,freshness,accuracy,0.759349593495935
ModelD_Cond,43,freshness,precision_macro,0.7649044166117337
ModelD_Cond,43,freshness,recall_macro,0.7605446690761237
ModelD_Cond,43,freshness,f1_macro,0.7598954032279209
ModelD_Cond,43,freshness,mcc,0.641700127139285
ModelD_Cond,43,freshness,qwk,0.7402544111612639
ModelD_Cond,43,joint,joint_accuracy,0.7544715447154472
ModelD_Cond,43,efficiency,params,5872819.0
ModelD_Cond,44,species,accuracy,0.983739837398374
ModelD_Cond,44,species,precision_macro,0.9864424228371986
ModelD_Cond,44,species,recall_macro,0.9869286874834888
ModelD_Cond,44,species,f1_macro,0.9865268657516633
ModelD_Cond,44,species,mcc,0.981108315970418
ModelD_Cond,44,species,cohen_kappa,0.9810447866999128
ModelD_Cond,44,freshness,accuracy,0.7837398373983739
ModelD_Cond,44,freshness,precision_macro,0.7798934745779026
ModelD_Cond,44,freshness,recall_macro,0.7823590404838994
ModelD_Cond,44,freshness,f1_macro,0.7800498687248081
ModelD_Cond,44,freshness,mcc,0.6754797428634749
ModelD_Cond,44,freshness,qwk,0.7615354788677782
ModelD_Cond,44,joint,joint_accuracy,0.7707317073170732
ModelD_Cond,44,efficiency,params,5872819.0
